,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
83,frozenset({4628597}),frozenset({3868338}),0.06717747179733666,0.011337612033136362,0.0012440272555062342,0.018518518518518514,1.6333702780086816,0.00048239514290107156,1.0073163952869932
84,frozenset({3968011}),frozenset({3898011}),0.008510277361531284,0.011281065339704261,0.0013853939890864882,0.16279069767441862,14.430436556507548,0.001289388994112048,1.18096983862202
85,frozenset({3898011}),frozenset({3968011}),0.011281065339704261,0.008510277361531284,0.0013853939890864882,0.12280701754385966,14.43043655650755,0.001289388994112048,1.1302982838078544
86,frozenset({3978011}),frozenset({3898011}),0.03189233509570528,0.011281065339704261,0.004693375554864429,0.14716312056737588,13.045143888089015,0.004333596038814035,1.1593294784790162
87,frozenset({3898011}),frozenset({3978011}),0.011281065339704261,0.03189233509570528,0.004693375554864429,0.41604010025062654,13.045143888089017,0.004333596038814035,1.6578324390421182
88,frozenset({3998011}),frozenset({3908011}),0.01272300602222285,0.006078769543950918,0.002431507817580367,0.19111111111111112,31.43911111111111,0.0023541675960649746,1.2287487739154452
89,frozenset({3908011}),frozenset({3998011}),0.006078769543950918,0.01272300602222285,0.002431507817580367,0.39999999999999997,31.43911111111111,0.0023541675960649746,1.6454616566296283
90,frozenset({3978011}),frozenset({4108011}),0.03189233509570528,0.03553959682207583,0.003336254912493992,0.1046099290780142,2.9434754029914747,0.0022028141814780873,1.0771399354303945
91,frozenset({4108011}),frozenset({3978011}),0.03553959682207583,0.03189233509570528,0.003336254912493992,0.09387430389817025,2.943475402991475,0.0022028141814780873,1.068403279003247
92,frozenset({3978011}),frozenset({4628597}),0.03189233509570528,0.06717747179733666,0.0035624416862223983,0.11170212765957448,1.6627914786159466,0.001419995244779447,1.0501235646832376
93,frozenset({4628597}),frozenset({3978011}),0.06717747179733666,0.03189233509570528,0.0035624416862223983,0.053030303030303025,1.6627914786159466,0.001419995244779447,1.022321694138935
94,frozenset({3978011}),frozenset({5528349}),0.03189233509570528,0.03228816194972999,0.0015550340693827928,0.04875886524822695,1.5101158537342723,0.0005252891888576031,1.017314961156295
95,frozenset({5528349}),frozenset({3978011}),0.03228816194972999,0.03189233509570528,0.0015550340693827928,0.04816112084063047,1.5101158537342723,0.0005252891888576031,1.0170919533769132
96,frozenset({6318344}),frozenset({3978011}),0.01492832706607481,0.03189233509570528,0.002685967938024824,0.17992424242424243,5.641613945304106,0.002209868728815279,1.1805100394214032
97,frozenset({3978011}),frozenset({6318344}),0.03189233509570528,0.01492832706607481,0.002685967938024824,0.08421985815602838,5.641613945304106,0.002209868728815279,1.0756639371437247
98,frozenset({3998011}),frozenset({4628597}),0.01272300602222285,0.06717747179733666,0.0018094941898272499,0.14222222222222222,2.117111859334081,0.0009547948115920299,1.0874874033450739
99,frozenset({4628597}),frozenset({3998011}),0.06717747179733666,0.01272300602222285,0.0018094941898272499,0.026936026936026935,2.1171118593340816,0.0009547948115920299,1.0146064609390997
100,frozenset({4108011}),frozenset({4628597}),0.03553959682207583,0.06717747179733666,0.007068336679012695,0.19888623707239458,2.9606091409989577,0.00468087641580898,1.1644070684714476
101,frozenset({4628597}),frozenset({4108011}),0.06717747179733666,0.03553959682207583,0.007068336679012695,0.10521885521885521,2.9606091409989577,0.00468087641580898,1.0778729623474825
102,frozenset({4108011}),frozenset({5528349}),0.03553959682207583,0.03228816194972999,0.0013853939890864882,0.03898170246618934,1.2073063349620408,0.00023788573126719455,1.0069650500241636
103,frozenset({5528349}),frozenset({4108011}),0.03228816194972999,0.03553959682207583,0.0013853939890864882,0.042907180385288964,1.2073063349620408,0.00023788573126719455,1.0076978777943177
104,frozenset({6318344}),frozenset({4108011}),0.01492832706607481,0.03553959682207583,0.0016964008029630468,0.11363636363636365,3.197457872278875,0.0011658540778066659,1.0881091728161196
105,frozenset({4108011}),frozenset({6318344}),0.03553959682207583,0.01492832706607481,0.0016964008029630468,0.0477326968973747,3.197457872278875,0.0011658540778066659,1.034448699146152
106,frozenset({9277426}),frozenset({4108011}),0.019904436088099747,0.03553959682207583,0.0012723006022222851,0.06392045454545456,1.7985700531568674,0.0005649049686804439,1.0303188525603317
107,frozenset({4108011}),frozenset({9277426}),0.03553959682207583,0.019904436088099747,0.0012723006022222851,0.03579952267303103,1.7985700531568671,0.0005649049686804439,1.0164852506908073
108,frozenset({4112626}),frozenset({4628597}),0.006615963131555882,0.06717747179733666,0.0013571206423704373,0.20512820512820512,3.0535267201933864,0.0009126769656881229,1.173550922577544
109,frozenset({4628597}),frozenset({4112626}),0.06717747179733666,0.006615963131555882,0.0013571206423704373,0.0202020202020202,3.0535267201933864,0.0009126769656881229,1.013866181958515
